종가,시가,고가,저가,거래량,변동
45950.0,45850.0,46150.0,45450.0,6741395.0,주가 하락 또는 변동 없음
46900.0,46750.0,47100.0,46500.0,11506720.0,주가 상승
46950.0,46500.0,47200.0,46200.0,8694009.0,주가 상승
47150.0,46500.0,47150.0,46450.0,6895772.0,주가 상승
47350.0,47400.0,47550.0,47050.0,7484716.0,주가 상승
46750.0,47350.0,47450.0,46500.0,7985547.0,주가 하락 또는 변동 없음
46750.0,47000.0,47250.0,46750.0,8045211.0,주가 하락 또는 변동 없음
45100.0,46400.0,46500.0,45100.0,23569321.0,주가 하락 또는 변동 없음
44850.0,46000.0,46100.0,44800.0,12926539.0,주가 하락 또는 변동 없음
44250.0,44600.0,45100.0,44150.0,10612405.0,주가 하락 또는 변동 없음
44000.0,44000.0,44300.0,43700.0,10202544.0,주가 하락 또는 변동 없음
44450.0,43400.0,44950.0,43400.0,11049749.0,주가 상승
43800.0,44450.0,44800.0,43800.0,7729069.0,주가 하락 또는 변동 없음
43650.0,44400.0,44450.0,43650.0,10717408.0,주가 하락 또는 변동 없음
44650.0,44300.0,44950.0,44150.0,11431977.0,주가 상승
43850.0,44250.0,44450.0,43700.0,8108343.0,주가 하락 또는 변동 없음
43850.0,43700.0,44300.0,43550.0,18039161.0,주가 하락 또는 변동 없음
44200.0,43800.0,44250.0,43700.0,16814163.0,주가 상승
43700.0,43950.0,44150.0,43450.0,8188876.0,주가 하락 또는 변동 없음
43900.0,43750.0,43900.0,43550.0,7609563.0,주가 상승
44050.0,43800.0,44200.0,43100.0,9846242.0,주가 상승
45850.0,44600.0,46250.0,44050.0,21138016.0,주가 상승
46550.0,46850.0,47000.0,46250.0,12535911.0,주가 상승
45500.0,45300.0,45650.0,44800.0,8699728.0,주가 하락 또는 변동 없음
45250.0,45500.0,45700.0,44900.0,9729811.0,주가 하락 또는 변동 없음
45350.0,44750.0,45600.0,44250.0,9568081.0,주가 상승
44850.0,44950.0,45200.0,44300.0,6821306.0,주가 하락 또는 변동 없음
44650.0,44500.0,44900.0,44200.0,11491713.0,주가 하락 또는 변동 없음
45050.0,45200.0,45450.0,44850.0,7362129.0,주가 상승
45750.0,45550.0,46100.0,45350.0,9480688.0,주가 상승
46600.0,46750.0,46750.0,45800.0,12436570.0,주가 상승
46950.0,46150.0,47100.0,46150.0,12650168.0,주가 상승
46850.0,46950.0,47550.0,46600.0,8546339.0,주가 하락 또는 변동 없음
46650.0,47250.0,47250.0,46150.0,8507909.0,주가 하락 또는 변동 없음
46650.0,46700.0,46950.0,46200.0,6878761.0,주가 하락 또는 변동 없음
46700.0,46400.0,46700.0,46050.0,11883995.0,주가 상승
46250.0,46700.0,46800.0,46150.0,13697399.0,주가 하락 또는 변동 없음
46850.0,46050.0,46900.0,46000.0,7668936.0,주가 상승
47050.0,47150.0,47500.0,47000.0,8733019.0,주가 상승
47250.0,47400.0,47400.0,46800.0,7730881.0,주가 상승
47050.0,47300.0,47600.0,47000.0,5513658.0,주가 하락 또는 변동 없음
45600.0,47200.0,47250.0,45500.0,12808747.0,주가 하락 또는 변동 없음
45300.0,45750.0,46000.0,45250.0,8479710.0,주가 하락 또는 변동 없음
45350.0,45400.0,45900.0,45100.0,6006957.0,주가 상승
45200.0,45050.0,45500.0,45000.0,6920566.0,주가 하락 또는 변동 없음
44750.0,45400.0,45650.0,44150.0,13299267.0,주가 하락 또는 변동 없음
44650.0,44250.0,45000.0,44100.0,10868965.0,주가 하락 또는 변동 없음
44850.0,44200.0,45000.0,43800.0,9739982.0,주가 상승
46150.0,45150.0,46150.0,45100.0,8777517.0,주가 상승
45850.0,46000.0,46300.0,45350.0,11121273.0,주가 하락 또는 변동 없음
45900.0,45500.0,46150.0,45400.0,8625126.0,주가 상승
45300.0,45900.0,46050.0,45300.0,6562916.0,주가 하락 또는 변동 없음
44850.0,45250.0,45300.0,44400.0,12014907.0,주가 하락 또는 변동 없음
44250.0,44300.0,44850.0,44200.0,10398754.0,주가 하락 또는 변동 없음
42450.0,43900.0,44250.0,42450.0,23029718.0,주가 하락 또는 변동 없음
42900.0,42600.0,43450.0,42450.0,14579512.0,주가 상승
42650.0,42500.0,43200.0,42350.0,7635079.0,주가 하락 또는 변동 없음
42650.0,41300.0,43100.0,41300.0,11563730.0,주가 하락 또는 변동 없음
42550.0,42700.0,43050.0,42550.0,7670185.0,주가 하락 또는 변동 없음
41550.0,42350.0,42400.0,41350.0,13687828.0,주가 하락 또는 변동 없음
41200.0,41950.0,42050.0,40850.0,13357951.0,주가 하락 또는 변동 없음
42000.0,41650.0,42100.0,41550.0,15752397.0,주가 상승
43150.0,42600.0,43950.0,42350.0,18812133.0,주가 상승
43500.0,43700.0,43800.0,42400.0,11033339.0,주가 상승
43850.0,43900.0,44000.0,43250.0,12259006.0,주가 상승
42700.0,43800.0,43800.0,42400.0,13966305.0,주가 하락 또는 변동 없음
42650.0,42500.0,43000.0,42350.0,8066669.0,주가 하락 또는 변동 없음
42550.0,42550.0,42950.0,42150.0,24506881.0,주가 하락 또는 변동 없음
41800.0,41850.0,42100.0,41300.0,14930618.0,주가 하락 또는 변동 없음
42550.0,42200.0,42700.0,42150.0,11766018.0,주가 상승
42500.0,42600.0,42800.0,42150.0,11365999.0,주가 하락 또는 변동 없음
43800.0,42950.0,43900.0,42500.0,15466580.0,주가 상승
